OBJECTID,RAIN_ID,DATE,VILLAGE,MOO,TAMBON,DISTRICT,PROVINCE,REGION,UTM_E,UTM_N,ZONE,RAIN_24_HR,RAIN_3_DAY,WEATHER
7328,12397,27/1/2022 0:00,เนินขาม,11,ทัพราช,ตาพระยา,สระแก้ว,ภาคตะวันออก,886838,1554557,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7329,12394,27/1/2022 0:00,คลองหิน,1,ห้วยทับมอญ,เขาชะเมา,ระยอง,ภาคตะวันออก,790991,1435324,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7330,12395,27/1/2022 0:00,นามูล,2,บุฝ้าย,ประจันตคาม,ปราจีนบุรี,ภาคตะวันออก,776053,1563216,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7331,12392,27/1/2022 0:00,ผัง 120,7,อุใดเจริญ,ควนกาหลง,สตูล,ภาคใต้,606974,766171,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7332,12393,27/1/2022 0:00,ห้วยน้ำแก้ว,6,หน้าเขา,เขาพนม,กระบี่,ภาคใต้,492306,919606,47,0,0,ท้องฟ้าโปร่ง อากาศร้อน
7333,12390,27/1/2022 0:00,ช้างเชื่อ,4,เหล,กะปง,พังงา,ภาคใต้,443403,967164,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7334,12391,27/1/2022 0:00,ทุ่งไพล,1,เขาแดง,สะบ้าย้อย,สงขลา,ภาคใต้,702981,724636,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7335,1388,13/6/2021 0:00,  เวียงคาตี้,5,หนองลู,สังขละบุรี,กาญจนบุรี,ภาคกลาง,428512,1677603,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7336,9089,14/11/2021 0:00,ลำใน,2,บ้านนา,ศรีนครินทร์,พัทลุง,ภาคใต้,597039,834025,47,0,0,ท้องฟ้าครึ้ม มีเมฆมาก
7337,9088,14/11/2021 0:00,เขานุ้ย,2,วังประจัน,ควนโดน,สตูล,ภาคใต้,626503,747324,47,0,0,ท้องฟ้าครึ้ม มีเมฆมาก
7338,9087,14/11/2021 0:00,ห้วยน้ำแก้ว,6,หน้าเขา,เขาพนม,กระบี่,ภาคใต้,492306,919606,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7339,9086,14/11/2021 0:00,ช้างเชื่อ,4,เหล,กะปง,พังงา,ภาคใต้,443403,967164,47,2,0,วัดปริมาณน้ำฝนได้ 2 มม.
7340,9085,14/11/2021 0:00,ในเขา,1,ปากแจ่ม,ห้วยยอด,ตรัง,ภาคใต้,576027,852112,47,4,0,วัดปริมาณน้ำฝนได้4 มม.
7341,9084,14/11/2021 0:00,  ลำแพะ,2,ปากแจ่ม,ห้วยยอด,ตรัง,ภาคใต้,578220,851686,47,10,0,วัดปริมาณน้ำฝนได้ 10 มม.
7342,9083,14/11/2021 0:00,  ยอดน้ำ,7,เขาน้อย,สิชล,นครศรีธรรมราช,ภาคใต้,580123,987438,47,13,0,วัดปริมาณน้ำฝนได้ 13 มม.
7343,9082,14/11/2021 0:00,ปากพาย,2,น้ำหัก,คีรีรัฐนิคม,สุราษฎร์ธานี,ภาคใต้,494841,1010804,47,28,0,วัดปริมาณน้ำฝนได้ 28 มม.
7344,9081,14/11/2021 0:00,บางเมาะ,9,ตะกุกเหนือ,วิภาวดี,สุราษฎร์ธานี,ภาคใต้,488579,1021008,47,33,0,วัดปริมาณน้ำฝนได้ 33 มม
7345,9080,14/11/2021 0:00,เหนือคลองระแนะ,6,พิปูน,พิปูน,นครศรีธรรมราช,ภาคใต้,568227,948838,47,40,0,วัดปริมาณน้ำฝนได้ 40 มม.
7346,10008,2/12/2021 0:00,หนองบัว,12,ทากาศ,แม่ทา,ลำพูน,ภาคเหนือ,504541,2030250,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7347,1389,13/6/2021 0:00,  เขาเพิ่ม,1,เขาเพิ่ม,บ้านนา,นครนายก,ภาคกลาง,726374,1589973,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7348,3508,31/7/2021 0:00,ท่ามะปราง,6,ปากแจ่ม,ห้วยยอด,ตรัง,ภาคใต้,571917,855159,47,2,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7349,3509,31/7/2021 0:00,บุรีรัมย์,1,ในวงใต้,ละอุ่น,ระนอง,ภาคใต้,485363,1107933,0,0,0,ทองฟาครึ้ม มีฝนตกปรอยๆ
7350,5089,1/9/2021 0:00,แปลงสี่-แม่พืช,8,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,ภาคเหนือ,530822,1773875,47,0,0,ท้องฟ้าครึ้ม มีเมฆมาก
7351,5088,1/9/2021 0:00,  พลำ,6,ป่าเลา,เมือง,เพชรบูรณ์,ภาคเหนือ,724958,1816332,47,0,0,ท้องฟ้าครึ้ม มีเมฆมาก
7352,3500,31/7/2021 0:00,ทุ่ง,1,เขาคราม,เมืองกระบี่,กระบี่,ภาคใต้,482158,907734,47,17,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7353,3501,31/7/2021 0:00,แสนสุข,7,พนม,พนม,สุราษฎร์ธานี,ภาคใต้,477054,976920,0,10,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
