OBJECTID,Event_ID,Geohaz_T,Geohaz_E,DATE,TIME,LATITUDE,LONGITUDE,UTM_E,UTM_N,ZONE,MAGNITUDE,DEPTH_KM,F_ZONE_T,F_ZONE_E,LOCATION,BAN,TAMBON,DISTRICT,PROVINCE,Geo_haz_T,Geo_haz_E,LS_Type_T,LS_Type_E,Effect
66,58,แผ่นดินไหว,Earthquake,00:00.0,6:42:00,19.94,99.95,599416,2205123,47,3.5,10,แม่จัน,MAE CHAN,,,,เวียงชัย,เชียงราย,,,,,รู้สึกสั่นไหวบริเวณ อำเภอเมือง จังหวัดเชียงราย
587,567,ดินถล่ม,Landslide,00:00.0,0:00:00,10.054268,99.18608871,520391,1111418,47,,,,,ทางเข้าเกาะพิทักษ์ ,,บางน้ำจืด ,หลังสวน ,ชุมพร,,,,,ดินไหลทำให้เสาไฟฟ้าล้มหลายจุด ปิดทางเข้าออกท่าเรือเกาะพิทักษ์ มีร้านค้าได้รับความเสียหายหลายร้าน
190,231,หลุมยุบ,Sinkhole,00:00.0,0:00:00,16.69422982,101.9449673,814092,1848050,47,,,,,,วังเจริญ,ห้วยม่วง,ภูผาม่าน,ขอนแก่น,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 4.3 เมตร ลึกประมาณ 10 เมตร
76,164,หลุมยุบ,Sinkhole,00:00.0,0:00:00,6.84837384,100.0707234,618307,757119,47,,,,,,ห้วยน้ำดำใน,ควนกาหลง,ควนกาหลง,สตูล,หินทราย,Sandstone,,,เกิดหลุมยุบใต้พื้นบ้านนายสมชาย หมานแพทย์ เลขที่ 297 กว้างประมาณ 3 เมตร ลึกประมาณ 2.5 เมตร มีน้ำขังอยู่ข้างในหลุม
64,224,หลุมยุบ,Sinkhole,00:00.0,0:00:00,16.56474916,100.6956255,680922,1832170,47,,,,,,มุง,บ้านมุง,เนินมะปราง,พิษณุโลก,หินปูน,Limestone,,,หลุมยุบที่มีลักษณะคล้ายวงกลม ขนาดกว้าง 7.60 เมตร ยาว 7.70 เมตร ความลึก 2.6-3 เมตร
154,184,หลุมยุบ,Sinkhole,00:00.0,0:00:00,8.75030309,99.02483234,502731,967247,47,,,,,,ระพีพรรณ,บ้านเสด็จ,เคียนซา,สุราษฎร์ธานี,หินปูน,Limestone,,,หลุมยุบบริเวณมุมอาคารห้องแถว บ้านเลขที่ 36 หมู่ที่ 12 กว้างประมาณ 4 เมตร ลึก 20 เมตร
203,201,หลุมยุบ,Sinkhole,00:00.0,0:00:00,17.14335735,100.3691027,645632,1895927,47,,,,,,แพะ,แม่ตื่น,แม่ระมาด,ตาก,หินทราย,Sandstone,,,พบหลุมยุบจำนวน 4 หลุม โดยหลุมใหญ่สุด ขนาดกว้าง 7 เมตร ยาว 13 เมตร ลึก 2.5 เมตร
498,350,ดินถล่ม,Landslide,00:00.0,0:00:00,9.96395101,98.68242916,465191,1101443,47N,,,,,ถนนทางหลวงชนบทหมายเลข ร.น. 4005,บ้านบางสังตี,หาดส้มแป้น,เมืองระนอง,ระนอง,,,,,ดินไหลปิดทับถนนทางสายสายบ่อน้ำพุร้อน - หาดส้มแป้น ทำให้ถนนถูกตัดขาดยาว 50เมตร
41,24,ดินถล่ม,Landslide,00:00.0,0:00:00,6.20998819,101.5380737,780868,687090,47,,,,,,ไอร์เจี้ยะ,ซากอ,ศรีสาคร,นราธิวาส,หินแกรนิต,Granite,,,มีผู้เสียชีวิต 8 ราย บ้านเรือนเสียหาย 3 หลัง
557,546,ดินถล่ม,Landslide,00:00.0,0:00:00,12.6421528,102.4508619,885945,1398912,47,,,,,วัดสวนป่า,เนินพัฒนา ,หนองบอน ,บ่อไร่,ตราด,,,,,ดินไหลลงมาปิดทับ บริเวณด้านหลังศาลาปฏิบัติธรรม 
