ประเทศที่ส่งออก,ปริมาณปลาป่น (กก.),มูลค่าปลาป่น (บาท),ปริมาณ อาหารสุนัขและแมว (กก.),มูลค่าอาหารสุนัขและแมว (บาท),ปริมาณอาหารใช้เลี้ยงสัตว์อื่น ๆ (กก.),มูลค่าอาหารใช้เลี้ยงสัตว์อื่น ๆ (บาท),ปริมาณอาหารเสริมสัตว์เลี้ยง (กก.),มูลค่าอาหารเสริมสัตว์เลี้ยง (บาท),ปริมาณพรีมิกซ์ (กก.),มูลค่าพรีมิกซ์ (บาท),ปริมาณอาหารกระป๋องสุนัขและแมว (กก.),มูลค่าอาหารกระป๋องสุนัขและแมว (บาท),ปริมาณDog Chews (กก.),มูลค่าDog Chews (บาท),ปริมาณอาหารสัตว์น้ำ (กก.),มูลค่าอาหารสัตว์น้ำ (บาท),ปริมาณรวมทั้งสิ้น (กก.),มูลค่ารวมทั้งสิ้น (บาท)
บาห์เรน,,,"21,704.80","904,124.10","1,000.00","3,135.00",,,,,"4,128.00","168,327.65",,,,,"26,832.80","1,075,586.75"
คาซัคสถาน,,,"16,777.80","774,468.75",,,,,,,,,,,347.36,"111,823.01","17,125.16","886,291.76"
แม็กซิโก,,,,,,,,,,,,,"2,921.00","664,460.00",179.00,"85,283.76","3,100.00","749,743.76"
อียิปต์,,,,,,,,,,,"6,289.92","504,495.60",,,,,"6,289.92","504,495.60"
พม่า,,,"12,000.00","483,000.00",,,,,,,,,,,,,"12,000.00","483,000.00"
มอริเซียส,,,,,,,,,,,,,,,"6,253.20","427,564.50","6,253.20","427,564.50"
เรอูนียง,,,,,,,,,,,"2,031.84","106,062.04",,,,,"2,031.84","106,062.04"
มาดากัสการ์,,,,,,,,,,,,,,,100.00,"55,554.62",100.00,"55,554.62"
กัมพูชา,,,,,,,,,,,123.00,154.00,,,,,123.00,154.00
สาธารณรัฐเช็ก,,,0.60,132.89,,,,,,,,,,,,,0.60,132.89
นิวแคลิโดเนีย,,,,,,,0.50,32.00,,,,,,,,,0.50,32.00
